start	end
hallway516	5 North
5 North	hallway516
intersection51	hallway516
hallway516	intersection51
hallway513	intersection51
intersection51	hallway513
intersection52	hallway513
hallway513	intersection52
5N	hallway513
hallway513	5N
hallway514	intersection52
intersection52	hallway514
5M	hallway514
hallway514	5M
hallway515	hallway514
hallway514	hallway515
5 South	hallway515
hallway515	5 South
intersection53	intersection52
intersection52	intersection53
intersection53	Hillside Elevators 1
Hillside Elevators 1	intersection53
Hillside Elevators 1	intersection52
intersection52	Hillside Elevators 1
hallway518	intersection53
intersection53	hallway518
hallway518	intersection52
intersection52	hallway518
intersection54	intersection53
intersection53	intersection54
intersection55	intersection54
intersection54	intersection55
intersection514	intersection55
intersection55	intersection514
hallway512	intersection514
intersection514	hallway512
5L	hallway512
hallway512	5L
hallway511	intersection514
intersection514	hallway511
hallway59	hallway511
hallway511	hallway59
5G	hallway57
hallway57	5G
5F	hallway57
hallway57	5F
5I	hallway59
hallway59	5I
5H	hallway59
hallway59	5H
5J	hallway511
hallway511	5J
hallway511	5K
5K	hallway511
hallway59	hallway57
hallway57	hallway59
hallway57	intersection510
intersection510	hallway57
intersection511	intersection510
intersection510	intersection511
hallway55	intersection511
intersection511	hallway55
5E	hallway55
hallway55	5E
intersection512	hallway55
hallway55	intersection512
hallway54	intersection512
intersection512	hallway54
5D	hallway54
hallway54	5D
intersection513	hallway54
hallway54	intersection513
5C	intersection513
intersection513	5C
hallway52	intersection513
intersection513	hallway52
intersection58	hallway52
hallway52	intersection58
intersection58	5B
5B	intersection58
hallway52	hallway52
hallway52	hallway52
hallway51	intersection58
intersection58	hallway51
intersection57	hallway51
hallway51	intersection57
hallway51	5A
5A	hallway51
intersection510	intersection57
intersection57	intersection510
hallway517	intersection510
intersection510	hallway517
intersection513	hallway517
hallway517	intersection513
Atrium Elevators	hallway517
hallway517	Atrium Elevators
intersection510	Atrium Elevators
Atrium Elevators	intersection510
