name	title	location
Barbie, Thanh	MD	Belkin House Entrance
Dominici, Laura	MD	Belkin House Entrance
Duggan, Margaret	MD	Belkin House Entrance
Jeselsohn, Rinath	MD	Belkin House Entrance
King, Tari	MD	Belkin House Entrance
Morrison-Ma, Samantha	NP	Belkin House Entrance
Nakhlis, Faina	MD	Belkin House Entrance
Parker, Leroy	MD	Belkin House Entrance
Yung, Rachel	MD	Belkin House Entrance
Joyce, Eileen	LICSW	Belkin House Entrance

Dialysis Clinic	Location	Dialysis Clinic
HallwayB10	Location	HallwayB10
StairsB10	Location	StairsB10
HallwayB11	Location	HallwayB11
StairsB11	Location	StairsB11
StairsB12	Location	StairsB12
HallwayB12	Location	HallwayB12
IntersectionB10	Location	IntersectionB10
IntersectionB11	Location	IntersectionB11
IntersectionB12	Location	IntersectionB12
IntersectionB13	Location	IntersectionB13
IntersectionB14	Location	IntersectionB14

Dialysis Clinic	Location	Dialysis Clinic

