name	x	y
Audiology	1st Floor
Cardiac Rehabilitation	1st Floor
Laboratory	1st Floor
Special Testing	1st Floor
Information	1st and 3rd Floors
Admitting/Registration	1st Floor
Atrium Café	1st Floor
Patient Financial Services	1st Floor
Taiclet Family Center	1st Floor
Valet Parking	1st Floor

GI Endoscopy - 2497 - 1807
hallway10 - 2515 - 1805

Day Surgery - 2680 - 1628
hallway11 - 2662 - 1627

Radiology - 2735 - 1396
hallway12 - 2734 - 1375

Center for Preoperative Evaluation - 2534 - 1413
hallway13 - 2516 - 1409

Blood Draw - 2373 - 1387
hallway14 - 2372 - 1374

Patient Registration - 2269 - 1314
hallway15 - 2261 - 1374

Emergency Department - 2106 - 1447
hallway16 - 2151 - 1375

intersection - 2200 - 1689
intersection - 2200 - 1690
intersection - 2200 - 1683
intersection - 2662 - 1683
intersection - 2662 - 1690
intersection - 2200 - 1861
intersection - 2521 - 1092
