name	title	location
Valet Parking	Location	Valet Parking
Belkin House Entrance	Location	Belkin House Entrance

Parking1	Location	Parking1

Parking2	Location	Parking2

ExternalNode1	Location	ExternalNode1
ExternalNode2	Location	ExternalNode2
ExternalNode3	Location	ExternalNode3
ExternalNode4	Location	ExternalNode4
ExternalNode5	Location	ExternalNode5

Parking3	Location	Parking3

intersection11	Location	intersection11
intersection12	Location	intersection12
intersection14	Location	intersection14
intersection15	Location	intersection15
intersection17	Location	intersection17
intersection18	Location	intersection18

