name	x	y
4A 2449 1104
hallway 2487 1141

4B 2557 1108
hallway 2561 1140

4C 2652 1201
hallway 2623 1197

4D 2652 1277
hallway 2621 1289

4F 2544 1406
hallway 2516 1389

4G 2483 1463
hallway 2515 1467


4H 2541 1498
hallway 2517 1500

4I 2535 1623
hallway 2516 1625

4J 2495 1855
hallway 2518 1854

4N 1855 2070
hallway 1846 2075

4S 2848 2092
hallway 2703 2073

intersection 2515 1141
intersection 2515 1338
intersection 2413 1340
intersection 2624 1340
intersection 2623 1164
intersection 2412 1167
intersection 2514 2067

