start	end
Pain Management Center	hallway70

Human Resources	hallway71

Hillside Elevators 1	hallway72

hallway70	intersection76

hallway71	intersection717

hallway72	intersection75

hallway72	intersection715

intersection71	intersection79

intersection79	intersection710

intersection710	intersection72

intersection72	intersection71

intersection72	intersection73

intersection73	intersection711

intersection712	intersection711

intersection712	intersection73

intersection75	intersection74

intersection75	intersection76

intersection716	intersection76

intersection716	intersection717

intersection717	intersection715

intersection76	intersection77

intersection77	intersection713

intersection77	intersection78

intersection78	intersection714
