name	x	y
MEDREC	271	1090
UROLOGY	405	1090
tynanConf	441	1090
o_44m4and44s3	653	1085
dptmedoff	783	1085
o_4211	810	1085
MEDLIB	877	1085
RAD_ADMIN	896	1085
CASMNGMT	964	1085
CONF713	987	1085
ADMINEXE	1142	1085
o_4102-4	1284	1085
PATSAFE	1327	1085
SURGndPHYS	1407	1085
qual_spec	1537	1085
o_41m1-43s2	1620	1085
HRndCOMP	1675	1085
FINANCE	1721	1085
CLINnd4308	1760	1085
LOCKnd4311	1808	1085
PLASTICS	1871	1085
FOOT_ANLKE	1907	1085
FAC_FIN_IS	1967	1085
o_4329-31-21	2039	1085
CENTRAL	1142	1026
o_4-5	1084	1026
o_1-2-3	1194	1026
LUNG	1142	922
HSKPG	1142	856
NURSESPACE	1142	796
SUITE4349-4995	1142	770
SUITE4985-90	1142	696
SUITE4970	1142	601
SUITE4930-35	1142	523
SUITE4950-55	1142	457
upperMiddle	1142	395
SUITE48	1235	395
SUITE47	1235	237
SUITE45	1194	216
TOPMIDDLE	1142	214
SUITE43	1085	214
S43B	1051	236
SUITE40	1051	348
UpLL_Corner	1051	395
o_4c68	1142	307
